datasetId,openFemaDataSet,datasetVersion,name,title,description,type,sortOrder,isSearchable,isNestedObject,isNullable,primaryKey,id,lastRefresh,hash,srid
openfema-74,FimaNfipPolicies,2,buildingReplacementCost,Building Replacement Cost,"Estimated cost in whole dollars to replace the building as reported by the insurer. 
NOTE: Replacement cost is not market value, and it does not include the cost of the land or contents. It is strictly the estimated cost to reconstruct the building",bigint,45,True,False,True,False,3655e95f-3b94-4dcc-b99a-009305528b7f,2024-11-06T18:42:40.839Z,0975fb5c25f813d9c0d5167091f6fe989f445fa6,
openfema-74,FimaNfipPolicies,2,baseFloodElevation,Base Flood Elevation,Base Flood Elevation (BFE) is the elevation in feet from the Elevation Certificate at which there is a 1% chance per year of flooding,"decimal(8,2)",2,True,False,True,False,23999c6f-3bb3-43bc-bb7d-60210369d501,2025-05-14T13:30:03.484Z,ab87f22d05b87fa010ce74d4d66f09c67cf8cef2,
openfema-74,FimaNfipPolicies,2,lowestAdjacentGrade,Lowest Adjacent Grade,Lowest natural grade adjacent to the insured structure prior to excavating or filling. The difference in feet of the lowest natural grade adjacent to the building from the reference level of the building,"decimal(8,2)",18,True,False,True,False,f5420d25-12de-437a-8135-c9a53e72a2d7,2025-05-14T13:30:03.484Z,9eb780d9c0521aa253585a754603d1a11b7125b0,
openfema-74,FimaNfipPolicies,2,lowestFloorElevation,Lowest Floor Elevation,A building's lowest floor is the floor or level (including basement/enclosure/crawlspace/subgrade crawlspace) that is used as the point of reference when rating a building.  This includes the level to which a building is floodproofed*. The elevation in feet of the reference level of the building from the elevation certificate,"decimal(8,2)",19,True,False,True,False,11e2e535-40fa-4b2a-a9ac-28bfcc434568,2025-05-14T13:30:03.484Z,83d60bc32dd0d309a4fb48bfe7ea1894daddeb6e,
openfema-74,FimaNfipPolicies,2,cancellationVoidanceReasonCode,Cancellation/Voidance Reason Code,"Reason code indicating why a policy was cancelled/nullified.
Legal values (value : description):
01 : Building Sold or Removed;
02 : Contents Sold or Removed (contents-only policy);
03 : Policy Canceled and Rewritten to Establish a Common Expiration; Date with Other Lines of Insurance;
04 : Duplicate Policies (NFIP);
05 : Non-Payment;
06 : Ineligible Risk;
08 : No Insurable Interest;
09 : PMR (Physical Map Revision) or LOMR ( Letter of Map Revision) with Lender Release;
10 : Closed Basin Lake (ineligible);
16 : FEMA Letter of Determination with Lender Release;
17 : Duplicate Policy from Source Other than the NFIP (Legacy System);
20 : LOMA (Letter of Map Amendment) with Lender Release;
21 : SRL (Severe Repetitive Loss) Written with Incorrect Insurer;
22 : Cancel/Rewrite Due to Misrating;
23 : Fraud;
24 : Cancel/Rewrite to PRP after Map Revision;
25 : Cancel/Rewrite to Process HFIAA Refund;
26 : Duplicate Policy from Source Other than the NFIP;
27 : Property becomes ineligible for coverage during policy term (effective after 10/1/2021);
28 : Insurance no longer required by lender (effective after 10/1/2021);
29 : Building physically altered and no longer eligible for NFIP coverage (effective after 10/1/2021);
30 : Insufficient premium to retain coverage (effective after 10/1/2021);
45 : Certain Condominium Units Covered by Dwelling Policy and by RCBAP (Residential Condominium Building Association Policy);
50 : Policy Required by Mortgagee in Error;
52 : Mortgage Paid Off;
60 : Voidance Prior to Effective Date;
70 : Voidance Due to Credit Card Error (Legacy System);
UN: Unknown;",text,39,True,False,True,False,72b03d9e-5eb4-4f3d-9b9b-f6f1341206d4,2025-05-14T13:30:03.484Z,324830cc164115e8ca2c60b3269deb347a54ab6a,
openfema-74,FimaNfipPolicies,2,basicBuildingRate,Basic Building Rate,Basic building rate selected by the company. This data element must be reported for all policies with exception of Preferred Risk Policy (PRP),"decimal(8,2)",46,True,False,True,False,f8f45c5c-b33b-4dcd-98df-5a65330d8e24,2025-05-14T13:30:03.484Z,07da94fcd487b63dd1521df9de0da85fd1d98106,
openfema-74,FimaNfipPolicies,2,additionalBuildingRate,Additional Building Rate,Additional building rate selected by the company. This data element must be reported for all policies except the Preferred Risk Policy (PRP),"decimal(8,2)",47,True,False,True,False,c37d1d64-bcba-423e-a999-398f83d10469,2025-05-14T13:30:03.484Z,563a2163992e7dabac80b027443b0916e8287d80,
openfema-74,FimaNfipPolicies,2,basicContentsRate,Basic Contents Rate,Basic contents rate selected by the company. This data element must be reported for all policies with exception of Preferred Risk Policy (PRP),"decimal(8,2)",48,True,False,True,False,7b920510-d9f4-4ae0-b42b-23fbd34188e2,2025-05-14T13:30:03.484Z,f15acb9b9e96ad0b3f9bc434f9ed43de4bf8554c,
openfema-74,FimaNfipPolicies,2,AdditionalContentsRate,Additional Contents Rate,Additional contents rate selected by the company. This data element must be reported for all policies except the Preferred Risk Policy (PRP),"decimal(8,2)",49,True,False,True,False,5bdc9d99-4c86-4f04-b529-93bc17b3105f,2025-05-14T13:30:03.484Z,73d9e8062656dad6debbee3d1b2d046a18f8c616,
openfema-74,FimaNfipPolicies,2,agricultureStructureIndicator,Agriculture Structure Indicator,Indicates whether a building is reported as being an agricultural structure in the policy application. Yes is indicated with either a 'true' or '1'. No is indicated with either a 'false' or '0',boolean,1,False,False,True,False,16443b40-d66c-425c-ad39-f2819c71c2d9,2024-08-27T19:21:04.454Z,69e2df207f30b8ab9356bf218f38302ef688d200,
